19500	10840,14580,2891,12747,16550,20411,12220,10171,527,11793,19421,20551
29750	
38250	7323,11793,12394,29095,16406,4997,16110,3228,14153,13592,10051,14265
39750	16110,15584,11052,2257,23143,3228,11679,17945,12352,18730
42000	21565,22393,11196,28924,28631,5470,13430,11176,15192,12512
47000	18736,16609,14482,12285,18575,21336,5429,9912,15534,29099,23549
64000	14580,12220,12747,16550,19421,27791,5470,1831,14294,527
65500	7323,527,4078,3723,12352,24601,11679,2771,15315,2739,5443,6152
69500	6096,29203,25086,2198,13020,27791,16100,26608,9471,11573
71250	29203,12394,12688,3228,911,679,16624,11652,6158,22556
82250	10840,14580,12747,19421,2891,10726,16550,2655,2610,2257
83250	17640,21372,12220,14294,29203,15159,26699,4059,22499,14020
139000	14796,14065,12220,27791,14261,11000,29203,13592,6880,2257
140500	18180,7542,27791,23782,14261,3228,16754,21336,13737,12220,14625
145750	17835,29547,12220,3228,23779,17013,7105,2257,16500,14048,24242,3847
154500	20207,25086,15138,3151,25240,12394,22319,14694,20297,10106,10353,18805,5863,8689
154750	17835,29547,3228,12220,23779,17013,7105,2257,16500,14048
190500	25733,2257,18024,2669,1831,25372,27509,14048,11196,11670
200250	6672,3627,2257,24196,2683,25086,3658,14020,13891,4949,12352,9620
203750	4731,27791,10176,14261,679,18024,3720,11080,15138,5429
232000	28463,8792,13494,2319,13554,27927,9486,4571,21533,28065,21865,7868
236000	5267,14020,679,24541,14818,24562,24977,4939,11849,4731
239250	12220,12394,2257,27791,20127,20425,17060,14261,4949,3228,28481
252500	14930,24669,19421,11196,25086,22732,25820,251,27060,4300
266500	21672,6080,2128,11328,26288,15934,5185,9563,28270,4949,10282
267250	2945,14261,12220,22359,24929,16463,476,4949,24385,27791,10690,2367
282500	12168,19993,6080,7868,15584,22393,14796,28410,27791,20425,12055
299750	14580,12747,19421,1547,2891,527,2257,993,9912,19514
309750	26722,2257,15019,12352,24601,12394,14294,14482,16540,11080,15365
317500	12352,21865,22732,11176,28463,2436,527,22359,12410,16939
341000	2683,12168,11052,3228,28410,9838,20425,155,27791,4709
364250	11196,911,16110,12220,23143,12394,24015,4938,17013,7105,11679
371250	21092,17405,14294,2683,11328,18024,14153,25917,6880,1691
380000	12220,16550,14242,3228,20297,4479,21336,4648,28631,22359,14174,22094
382250	12168,25260,2683,11080,16110,3390,4709,15935,2257,14020
393250	3627,29095,8662,12394,11196,8689,16406,11465,21672,14153
405000	251,4731,27791,10176,14261,22547,26464,12674,11080,3720
415500	3627,25086,20207,12168,22319,2683,5863,12394,21336,9242,554
417250	12168,23143,12352,11679,4949,11612,11465,22393,16603,15934,12068
418500	28059,22583,3151,27117,14020,16406,15019,26883,2655,18075,18002
425500	18736,28641,21336,5814,17214,20803,15584,7560,14294,12394
434750	21372,27625,21672,3555,4220,8389,11280,6096,7323,11080,16972,19394,21911,27511,4571
439000	21865,8792,13494,16939,13554,27927,9486,2683,4571,21533,12287,16821,2198,24060,25415,26404,3362,6104,7868
448250	2963,15159,18868,12977,4960,18805,14020,22393,23214,7260,15911
452750	25086,20207,16110,14942,3627,2683,12352,19466,27791,14153,14796
472000	12162,8693,4324,2128,17823,28992,14020,911,20386,6158,23584,25333,3515,6211
528250	16406,2257,29095,3228,16110,15672,11612,19962,12394,12168,155,8693
563500	21865,28463,8792,13494,2319,27927,9486,21533,28065,7737
567250	10840,14580,12747,19421,2891,10726,16550,2610,26722,2257
573000	16406,2257,12977,3458,28626,29202,15534,3228,22126,21110,16653,18868,19615
